album,release_date,track_name,track_num,artist,duration_ms,popularity
Cabaret (New Broadway Cast Recording),1998-06-30,Willkommen,1,"Alan Cumming, Cabaret Ensemble (1998)",451200,44
Cabaret (New Broadway Cast Recording),1998-06-30,So What?,2,Mary Louise Wilson,193733,31
Cabaret (New Broadway Cast Recording),1998-06-30,Don't Tell Mama,3,"Natasha Richardson, Alan Cumming, Cabaret Ensemble (1998)",252666,37
Cabaret (New Broadway Cast Recording),1998-06-30,Mein Herr,4,"Natasha Richardson, Alan Cumming, Cabaret Ensemble (1998)",258773,35
Cabaret (New Broadway Cast Recording),1998-06-30,Perfectly Marvelous,5,"Natasha Richardson, John Benjamin Hickey",166493,32
Cabaret (New Broadway Cast Recording),1998-06-30,Two Ladies,6,"Erin Hill, Michael O'Donnell, Alan Cumming",171173,35
Cabaret (New Broadway Cast Recording),1998-06-30,It Couldn't Please Me More,7,"Mary Louise Wilson, Ron Rifkin",212533,28
Cabaret (New Broadway Cast Recording),1998-06-30,Tomorrow Belongs to Me,8,"Alex Bowen, Alan Cumming",70466,27
Cabaret (New Broadway Cast Recording),1998-06-30,Maybe This Time,9,Natasha Richardson,180093,41
Cabaret (New Broadway Cast Recording),1998-06-30,Money,10,"Alan Cumming, Cabaret Ensemble (1998)",198706,39
Cabaret (New Broadway Cast Recording),1998-06-30,Married,11,"Ron Rifkin, Michele Pawk, Mary Louise Wilson",219666,27
Cabaret (New Broadway Cast Recording),1998-06-30,Tomorrow Belongs to Me (Reprise),12,"Michele Pawk, Denis O'Hare, Cabaret Ensemble (1998)",147266,29
Cabaret (New Broadway Cast Recording),1998-06-30,Entr'acte,13,"Cabaret Orchestra (1998), Patrick Vaccariello",312960,26
Cabaret (New Broadway Cast Recording),1998-06-30,Married (Reprise),14,"Ron Rifkin, Mary Louise Wilson",66866,23
Cabaret (New Broadway Cast Recording),1998-06-30,If You Could See Her,15,"Alan Cumming, Joyce Chittick",220373,33
Cabaret (New Broadway Cast Recording),1998-06-30,What Would You Do?,16,"Mary Louise Wilson, John Benjamin Hickey",209493,26
Cabaret (New Broadway Cast Recording),1998-06-30,I Don't Care Much,17,Alan Cumming,173866,36
Cabaret (New Broadway Cast Recording),1998-06-30,Cabaret,18,"Natasha Richardson, Alan Cumming",254600,39
Cabaret (New Broadway Cast Recording),1998-06-30,Finale,19,"John Benjamin Hickey, Alan Cumming",269106,30
Beetlejuice (Original Broadway Cast Recording),2019-06-07,Prologue: Invisible,1,"Sophia Anne Caruso, Alex Brightman, Beetlejuice Original Broadway Cast Recording Ensemble",162792,49
Beetlejuice (Original Broadway Cast Recording),2019-06-07,"The Whole ""Being Dead"" Thing",2,"Alex Brightman, Beetlejuice Original Broadway Cast Recording Ensemble",223564,59
Beetlejuice (Original Broadway Cast Recording),2019-06-07,"Ready Set, Not Yet",3,"Rob McClure, Kerry Butler, Alex Brightman",222176,49
Beetlejuice (Original Broadway Cast Recording),2019-06-07,"The Whole ""Being Dead"" Thing, Pt. 2",4,"Alex Brightman, Kerry Butler, Rob McClure, Beetlejuice Original Broadway Cast Recording Ensemble",100113,52
Beetlejuice (Original Broadway Cast Recording),2019-06-07,Dead Mom,5,"Sophia Anne Caruso, Beetlejuice Original Broadway Cast Recording Ensemble",184147,58
Beetlejuice (Original Broadway Cast Recording),2019-06-07,Fright of Their Lives,6,"Alex Brightman, Rob McClure, Kerry Butler, Beetlejuice Original Broadway Cast Recording Ensemble",224633,49
Beetlejuice (Original Broadway Cast Recording),2019-06-07,Ready Set - Reprise,7,"Rob McClure, Kerry Butler",58849,45
Beetlejuice (Original Broadway Cast Recording),2019-06-07,No Reason,8,"Leslie Kritzer, Sophia Anne Caruso",191645,49
Beetlejuice (Original Broadway Cast Recording),2019-06-07,Invisible (Reprise) / On the Roof,9,"Alex Brightman, Sophia Anne Caruso",108243,46
Beetlejuice (Original Broadway Cast Recording),2019-06-07,Say My Name,10,"Alex Brightman, Sophia Anne Caruso, Kerry Butler, Rob McClure",235286,65
Beetlejuice (Original Broadway Cast Recording),2019-06-07,Day-O (The Banana Boat Song) - Act 1 Finale,11,"Leslie Kritzer, Adam Dannheisser, Sophia Anne Caruso, Kerry Butler, Rob McClure, Alex Brightman, Danny Rutigliano, Jill Abramovitz, Beetlejuice Original Broadway Cast Recording Ensemble, Ramone Owens",224382,50
Beetlejuice (Original Broadway Cast Recording),2019-06-07,Girl Scout,12,"Dana Steingold, Sophia Anne Caruso, Beetlejuice Original Broadway Cast Recording Ensemble",146564,51
Beetlejuice (Original Broadway Cast Recording),2019-06-07,That Beautiful Sound,13,"Alex Brightman, Sophia Anne Caruso, Beetlejuice Original Broadway Cast Recording Ensemble",314950,51
Beetlejuice (Original Broadway Cast Recording),2019-06-07,Barbara 2.0,14,"Kerry Butler, Rob McClure",205743,47
Beetlejuice (Original Broadway Cast Recording),2019-06-07,What I Know Now,15,"Leslie Kritzer, Beetlejuice Original Broadway Cast Recording Ensemble",214786,53
Beetlejuice (Original Broadway Cast Recording),2019-06-07,Home,16,"Sophia Anne Caruso, Adam Dannheisser, Beetlejuice Original Broadway Cast Recording Ensemble",227985,49
Beetlejuice (Original Broadway Cast Recording),2019-06-07,Creepy Old Guy,17,"Sophia Anne Caruso, Alex Brightman, Rob McClure, Kerry Butler, Adam Dannheisser, Beetlejuice Original Broadway Cast Recording Ensemble, Leslie Kritzer",262709,48
Beetlejuice (Original Broadway Cast Recording),2019-06-07,Jump in the Line / Dead Mom - Reprise,18,"Sophia Anne Caruso, Rob McClure, Kerry Butler, Adam Dannheisser, Leslie Kritzer, Beetlejuice Original Broadway Cast Recording Ensemble",125741,47
Something Rotten! (Original Broadway Cast Recording),2015-06-02,Welcome to the Renaissance,1,"Michael James Scott, 'Something Rotten' Ensemble, Wayne Kirkpatrick, Karey Kirkpatrick",285773,39
Something Rotten! (Original Broadway Cast Recording),2015-06-02,"God, I Hate Shakespeare",2,"Brian D'Arcy James, John Cariani, 'Something Rotten' Male Ensemble, Wayne Kirkpatrick, Karey Kirkpatrick",164066,43
Something Rotten! (Original Broadway Cast Recording),2015-06-02,Right Hand Man,3,"Heidi Blickenstaff, Brian D'Arcy James, John Cariani, Wayne Kirkpatrick, Karey Kirkpatrick",163720,44
Something Rotten! (Original Broadway Cast Recording),2015-06-02,"God, I Hate Shakespeare - Reprise",4,"Brian D'Arcy James, Wayne Kirkpatrick, Karey Kirkpatrick",90346,31
Something Rotten! (Original Broadway Cast Recording),2015-06-02,A Musical,5,"Brad Oscar, Brian D'Arcy James, 'Something Rotten' Ensemble, Wayne Kirkpatrick, Karey Kirkpatrick",467906,40
Something Rotten! (Original Broadway Cast Recording),2015-06-02,The Black Death,6,"'Something Rotten' Ensemble, Wayne Kirkpatrick, Karey Kirkpatrick",75693,34
Something Rotten! (Original Broadway Cast Recording),2015-06-02,I Love the Way,7,"Kate Reinders, John Cariani, Wayne Kirkpatrick, Karey Kirkpatrick",169293,35
Something Rotten! (Original Broadway Cast Recording),2015-06-02,Will Power,8,"Christian Borle, 'Something Rotten' Ensemble, Wayne Kirkpatrick, Karey Kirkpatrick",299533,38
Something Rotten! (Original Broadway Cast Recording),2015-06-02,Bottom's Gonna Be on Top,9,"Brian D'Arcy James, 'Something Rotten' Company, Kurt Deutsch, Kevin McCollum, Wayne Kirkpatrick, Karey Kirkpatrick",330346,35
Something Rotten! (Original Broadway Cast Recording),2015-06-02,Welcome to the Renaissance - Reprise,10,"Michael James Scott, Wayne Kirkpatrick, Karey Kirkpatrick",42386,30
Something Rotten! (Original Broadway Cast Recording),2015-06-02,Hard to Be the Bard,11,"Christian Borle, 'Something Rotten' Ensemble, Wayne Kirkpatrick, Karey Kirkpatrick",238746,48
Something Rotten! (Original Broadway Cast Recording),2015-06-02,It's Eggs!,12,"Brian D'Arcy James, 'Something Rotten' Ensemble, Wayne Kirkpatrick, Karey Kirkpatrick",39960,30
Something Rotten! (Original Broadway Cast Recording),2015-06-02,We See the Light,13,"Kate Reinders, John Cariani, Brooks Ashmanskas, Brian D'Arcy James, 'Something Rotten' Ensemble, Wayne Kirkpatrick, Karey Kirkpatrick",245960,33
Something Rotten! (Original Broadway Cast Recording),2015-06-02,To Thine Own Self,14,"John Cariani, Brian D'Arcy James, Christian Borle, 'Something Rotten' Male Ensemble, Wayne Kirkpatrick, Karey Kirkpatrick",238306,32
Something Rotten! (Original Broadway Cast Recording),2015-06-02,Right Hand Man - Reprise,15,"Heidi Blickenstaff, John Cariani, Wayne Kirkpatrick, Karey Kirkpatrick",81933,28
Something Rotten! (Original Broadway Cast Recording),2015-06-02,Something Rotten! / Make an Omelette,16,"Brian D'Arcy James, Brad Oscar, 'Something Rotten' Ensemble, Wayne Kirkpatrick, Karey Kirkpatrick",354493,32
Something Rotten! (Original Broadway Cast Recording),2015-06-02,To Thine Own Self - Reprise,17,"Brian D'Arcy James, John Cariani, Wayne Kirkpatrick, Karey Kirkpatrick",110760,28
Something Rotten! (Original Broadway Cast Recording),2015-06-02,Finale,18,"'Something Rotten' Company, Wayne Kirkpatrick, Karey Kirkpatrick",151786,29
Pippin (New Broadway Cast Recording),2013-07-09,Magic to Do,1,"Patina Miller, The Players",275253,36
Pippin (New Broadway Cast Recording),2013-07-09,Corner of the Sky,2,Matthew James Thomas,176466,42
Pippin (New Broadway Cast Recording),2013-07-09,War Is a Science,3,"Terrence Mann, Matthew James Thomas, The Players",194133,28
Pippin (New Broadway Cast Recording),2013-07-09,Glory,4,"Patina Miller, The Players",354653,29
Pippin (New Broadway Cast Recording),2013-07-09,Simple Joys,5,Patina Miller,152760,34
Pippin (New Broadway Cast Recording),2013-07-09,No Time at All,6,"Andrea Martin, The Players",354506,29
Pippin (New Broadway Cast Recording),2013-07-09,With You,7,Matthew James Thomas,339493,26
Pippin (New Broadway Cast Recording),2013-07-09,Spread a Little Sunshine,8,Charlotte D'Amboise,183533,26
Pippin (New Broadway Cast Recording),2013-07-09,Morning Glow,9,"Matthew James Thomas, The Players",256066,32
Pippin (New Broadway Cast Recording),2013-07-09,Entr'acte,10,"The Players, Matthew James Thomas",114666,22
Pippin (New Broadway Cast Recording),2013-07-09,On the Right Track,11,"Patina Miller, Matthew James Thomas",234893,30
Pippin (New Broadway Cast Recording),2013-07-09,Kind of Woman,12,Rachel Bay Jones,175413,27
Pippin (New Broadway Cast Recording),2013-07-09,Extraordinary,13,Matthew James Thomas,158333,28
Pippin (New Broadway Cast Recording),2013-07-09,Love Song,14,"Matthew James Thomas, Rachel Bay Jones",149840,25
Pippin (New Broadway Cast Recording),2013-07-09,I Guess I'll Miss the Man,15,Rachel Bay Jones,126226,27
Pippin (New Broadway Cast Recording),2013-07-09,Finale,16,"Patina Miller, Matthew James Thomas, Andrew Cekala, Ashton Woerz, The Players",450773,26
Pippin (New Broadway Cast Recording),2013-07-09,Corner of the Sky (Sing-A-Long),17,The Pippin Orchestra,175080,18
Pippin (New Broadway Cast Recording),2013-07-09,Simple Joys (Sing-A-Long),18,The Pippin Orchestra,152800,14
